2023-08-11 16:46:14.513 | INFO     | __main__:__init__:122 - all init start
2023-08-11 16:46:14.761 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- slime
2023-08-11 16:46:14.762 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.763 | INFO     | petC:initAI:428 - slime initAI running
2023-08-11 16:46:14.793 | INFO     | petC:hide:232 - slime hide
2023-08-11 16:46:14.812 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- red
2023-08-11 16:46:14.813 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.813 | INFO     | petC:initAI:428 - red initAI running
2023-08-11 16:46:14.816 | INFO     | petC:hide:232 - red hide
2023-08-11 16:46:14.833 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- orange
2023-08-11 16:46:14.833 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.834 | INFO     | petC:initAI:428 - orange initAI running
2023-08-11 16:46:14.837 | INFO     | petC:hide:232 - orange hide
2023-08-11 16:46:14.855 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- yellow
2023-08-11 16:46:14.855 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.856 | INFO     | petC:initAI:428 - yellow initAI running
2023-08-11 16:46:14.858 | INFO     | petC:hide:232 - yellow hide
2023-08-11 16:46:14.880 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- green
2023-08-11 16:46:14.880 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.881 | INFO     | petC:initAI:428 - green initAI running
2023-08-11 16:46:14.883 | INFO     | petC:hide:232 - green hide
2023-08-11 16:46:14.901 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- blue
2023-08-11 16:46:14.902 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.903 | INFO     | petC:initAI:428 - blue initAI running
2023-08-11 16:46:14.905 | INFO     | petC:hide:232 - blue hide
2023-08-11 16:46:14.926 | INFO     | petC:setMouseEvent:224 - setMouseEvent running--- purple
2023-08-11 16:46:14.927 | INFO     | petC:setMouseEvent:229 - 

2023-08-11 16:46:14.927 | INFO     | petC:initAI:428 - purple initAI running
2023-08-11 16:46:14.930 | INFO     | petC:hide:232 - purple hide
2023-08-11 16:46:14.933 | INFO     | __main__:initCtrlWindow:182 - init CtrlWindow
2023-08-11 16:46:16.016 | INFO     | ctrlWindow:__init__:21 - <__main__.Main object at 0x000001BC3FDCF400>
2023-08-11 16:46:16.016 | INFO     | ctrlWindow:initEvents:31 - init Events
2023-08-11 16:46:16.019 | INFO     | __main__:initSysMenu:196 - initSysMenu
2023-08-11 16:46:18.063 | INFO     | petC:show:238 - green show
2023-08-11 16:46:18.120 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.146 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.169 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.190 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.212 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.234 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.256 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.281 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.308 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.337 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.364 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.394 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.417 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.440 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.462 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.485 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.512 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.540 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.571 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.603 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.634 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.659 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.682 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.706 | DEBUG    | petC:doTask:415 - green doTask
2023-08-11 16:46:18.736 | DEBUG    | petC:doTask:415 - green doTask
