2023-08-11 16:25:37.597 | INFO     | __main__:__init__:120 - all init start
2023-08-11 16:25:37.833 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- slime
2023-08-11 16:25:37.835 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:25:37.837 | INFO     | petC:initAI:419 - slime initAI running
2023-08-11 16:25:37.839 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.866 | INFO     | petC:hide:227 - slime hide
2023-08-11 16:25:37.885 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- red
2023-08-11 16:25:37.888 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.889 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:25:37.894 | INFO     | petC:initAI:419 - red initAI running
2023-08-11 16:25:37.896 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.899 | INFO     | petC:hide:227 - red hide
2023-08-11 16:25:37.917 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- orange
2023-08-11 16:25:37.919 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.920 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:25:37.925 | INFO     | petC:initAI:419 - orange initAI running
2023-08-11 16:25:37.927 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.930 | INFO     | petC:hide:227 - orange hide
2023-08-11 16:25:37.953 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- yellow
2023-08-11 16:25:37.955 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.956 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:25:37.962 | INFO     | petC:initAI:419 - yellow initAI running
2023-08-11 16:25:37.963 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.966 | INFO     | petC:hide:227 - yellow hide
2023-08-11 16:25:37.991 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- green
2023-08-11 16:25:37.994 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:37.996 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:25:38.004 | INFO     | petC:initAI:419 - green initAI running
2023-08-11 16:25:38.005 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:38.009 | INFO     | petC:hide:227 - green hide
2023-08-11 16:25:38.032 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- blue
2023-08-11 16:25:38.034 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:38.037 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:25:38.044 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:38.045 | INFO     | petC:initAI:419 - blue initAI running
2023-08-11 16:25:38.052 | INFO     | petC:hide:227 - blue hide
2023-08-11 16:25:38.053 | DEBUG    | __main__:run:31 - []
2023-08-11 16:25:38.074 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- purple
