2023-08-11 16:21:30.308 | INFO     | __main__:__init__:120 - all init start
2023-08-11 16:21:30.496 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- slime
2023-08-11 16:21:30.499 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.502 | INFO     | petC:initAI:419 - slime initAI running
2023-08-11 16:21:30.503 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.531 | INFO     | petC:hide:227 - slime hide
2023-08-11 16:21:30.552 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- red
2023-08-11 16:21:30.553 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.554 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.560 | INFO     | petC:initAI:419 - red initAI running
2023-08-11 16:21:30.562 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.565 | INFO     | petC:hide:227 - red hide
2023-08-11 16:21:30.588 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- orange
2023-08-11 16:21:30.590 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.591 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.595 | INFO     | petC:initAI:419 - orange initAI running
2023-08-11 16:21:30.597 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.601 | INFO     | petC:hide:227 - orange hide
2023-08-11 16:21:30.628 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- yellow
2023-08-11 16:21:30.631 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.633 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.638 | INFO     | petC:initAI:419 - yellow initAI running
2023-08-11 16:21:30.640 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.642 | INFO     | petC:hide:227 - yellow hide
2023-08-11 16:21:30.649 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.669 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- green
2023-08-11 16:21:30.674 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.676 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.679 | INFO     | petC:initAI:419 - green initAI running
2023-08-11 16:21:30.686 | INFO     | petC:hide:227 - green hide
2023-08-11 16:21:30.688 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.704 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- blue
2023-08-11 16:21:30.711 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.711 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.714 | INFO     | petC:initAI:419 - blue initAI running
2023-08-11 16:21:30.722 | INFO     | petC:hide:227 - blue hide
2023-08-11 16:21:30.723 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.745 | INFO     | petC:setMouseEvent:219 - setMouseEvent running--- purple
2023-08-11 16:21:30.751 | INFO     | petC:setMouseEvent:224 - 

2023-08-11 16:21:30.753 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.754 | INFO     | petC:initAI:419 - purple initAI running
2023-08-11 16:21:30.763 | INFO     | petC:hide:227 - purple hide
2023-08-11 16:21:30.764 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:30.767 | INFO     | __main__:initCtrlWindow:180 - init CtrlWindow
2023-08-11 16:21:30.774 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.655 | INFO     | ctrlWindow:__init__:21 - <__main__.Main object at 0x000002D67B7F3490>
2023-08-11 16:21:31.662 | INFO     | ctrlWindow:initEvents:31 - init Events
2023-08-11 16:21:31.664 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.667 | INFO     | __main__:initSysMenu:194 - initSysMenu
2023-08-11 16:21:31.723 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.733 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.743 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.751 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.763 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.772 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.779 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.787 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.795 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.804 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.811 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.821 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.830 | DEBUG    | __main__:run:31 - []
2023-08-11 16:21:31.840 | DEBUG    | __main__:run:31 - []
